0 min;;10 min;;20 min;;30 min;;40 min;;50 min;;60 min;;90 min;;120 min;;
Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;
728,9955444;-0,008945425972;728,9955444;-0,00491715828;728,9955444;-0,006111700088;728,9955444;-0,01337585971;728,9955444;-0,01254523173;728,9955444;-0,01402252819;728,9955444;-0,0122404201;728,9955444;-0,0130355591;728,9955444;-0,01897634193;
727,9984131;-0,009073415771;727,9984131;-0,005878039636;727,9984131;-0,006578848697;727,9984131;-0,0136683872;727,9984131;-0,01307946816;727,9984131;-0,01396272238;727,9984131;-0,01294149831;727,9984131;-0,01375526935;727,9984131;-0,01962764747;
727,0010376;-0,009486285038;727,0010376;-0,006219756324;727,0010376;-0,006834098604;727,0010376;-0,01385582425;727,0010376;-0,01348232478;727,0010376;-0,01435414236;727,0010376;-0,01342917047;727,0010376;-0,0134838298;727,0010376;-0,01972912624;
726,0032349;-0,00961041823;726,0032349;-0,005978391971;726,0032349;-0,00704248948;726,0032349;-0,01358595304;726,0032349;-0,01376013458;726,0032349;-0,01420219615;726,0032349;-0,01328433212;726,0032349;-0,01370736584;726,0032349;-0,02033474483;
725,005127;-0,009073111229;725,005127;-0,006115988363;725,005127;-0,007280259393;725,005127;-0,01343052555;725,005127;-0,0133304242;725,005127;-0,01375762653;725,005127;-0,01320765167;725,005127;-0,01349165943;725,005127;-0,02005868778;
724,0066528;-0,009926543571;724,0066528;-0,006215265021;724,0066528;-0,00724258367;724,0066528;-0,01399666164;724,0066528;-0,01382683869;724,0066528;-0,01501761191;724,0066528;-0,01370736584;724,0066528;-0,01396497898;724,0066528;-0,02110914886;
723,0079956;-0,009599429555;723,0079956;-0,00552087184;723,0079956;-0,007164879236;723,0079956;-0,01416105684;723,0079956;-0,01377312467;723,0079956;-0,01468074787;723,0079956;-0,01335728448;723,0079956;-0,01406307891;723,0079956;-0,0205818899;
722,0088501;-0,01005636808;722,0088501;-0,00631145807;722,0088501;-0,00733086234;722,0088501;-0,0145871928;722,0088501;-0,0145321209;722,0088501;-0,01531413291;722,0088501;-0,01361696143;722,0088501;-0,01427088678;722,0088501;-0,0207671579;
721,0093994;-0,009557852522;721,0093994;-0,006318958476;721,0093994;-0,007634915411;721,0093994;-0,01478394121;721,0093994;-0,01409029495;721,0093994;-0,01510697417;721,0093994;-0,01395154279;721,0093994;-0,01444534399;721,0093994;-0,02127905749;
720,0095215;-0,00987684913;720,0095215;-0,006569975521;720,0095215;-0,007481160108;720,0095215;-0,01450303011;720,0095215;-0,01404478401;720,0095215;-0,01477553509;720,0095215;-0,01364917215;720,0095215;-0,0143477805;720,0095215;-0,02149004489;
719,0093384;-0,009809130803;719,0093384;-0,006271554623;719,0093384;-0,007598185912;719,0093384;-0,0147112282;719,0093384;-0,01434041746;719,0093384;-0,01487785485;719,0093384;-0,0143163735;719,0093384;-0,0146493651;719,0093384;-0,02194439434;
718,0089111;-0,009724391624;718,0089111;-0,006161163095;718,0089111;-0,007674846333;718,0089111;-0,01485764328;718,0089111;-0,01438234095;718,0089111;-0,01523366105;718,0089111;-0,01410593186;718,0089111;-0,01457878202;718,0089111;-0,02192180045;
717,0080566;-0,00944657065;717,0080566;-0,005997540895;717,0080566;-0,007472254336;717,0080566;-0,01469551306;717,0080566;-0,01458298787;717,0080566;-0,01519726869;717,0080566;-0,01392351557;717,0080566;-0,01449566986;717,0080566;-0,02234929428;
716,006958;-0,009997431189;716,006958;-0,006247926969;716,006958;-0,007613702212;716,006958;-0,0148134632;716,006958;-0,01441579685;716,006958;-0,01522181369;716,006958;-0,01413324475;716,006958;-0,01470877603;716,006958;-0,02251999639;
715,0054321;-0,01011216268;715,0054321;-0,00653749099;715,0054321;-0,007955581881;715,0054321;-0,01492587943;715,0054321;-0,01523276139;715,0054321;-0,01557494141;715,0054321;-0,01439616457;715,0054321;-0,01500570867;715,0054321;-0,02256502025;
714,0036011;-0,01019879803;714,0036011;-0,006827167235;714,0036011;-0,00864137616;714,0036011;-0,01544790436;714,0036011;-0,01515707374;714,0036011;-0,01624263451;714,0036011;-0,01426397264;714,0036011;-0,01543386467;714,0036011;-0,02303371392;
713,0014038;-0,01056310534;713,0014038;-0,007624588907;713,0014038;-0,008774173446;713,0014038;-0,01577278972;713,0014038;-0,01549286861;713,0014038;-0,01654788852;713,0014038;-0,01497194823;713,0014038;-0,01558223367;713,0014038;-0,02339477465;
711,9989014;-0,01066520996;711,9989014;-0,007032047026;711,9989014;-0,008485438302;711,9989014;-0,0157052353;711,9989014;-0,01552748773;711,9989014;-0,01616253331;711,9989014;-0,01508892328;711,9989014;-0,01591186039;711,9989014;-0,02365626767;
710,9960327;-0,01006997656;710,9960327;-0,006419107318;710,9960327;-0,008016321808;710,9960327;-0,01524885651;710,9960327;-0,01546793897;710,9960327;-0,01601396315;710,9960327;-0,01491857599;710,9960327;-0,01565594971;710,9960327;-0,02338947728;
709,9927979;-0,0103438599;709,9927979;-0,00689005293;709,9927979;-0,008481731638;709,9927979;-0,01568476297;709,9927979;-0,01564641111;709,9927979;-0,01602898166;709,9927979;-0,01501176041;709,9927979;-0,01570114121;709,9927979;-0,02420644648;
708,9893188;-0,01032707561;708,9893188;-0,00673292391;708,9893188;-0,008723434061;708,9893188;-0,01595308445;708,9893188;-0,01584038511;708,9893188;-0,01643589325;708,9893188;-0,01530103851;708,9893188;-0,01586714014;708,9893188;-0,0245851744;
707,9854126;-0,01077042241;707,9854126;-0,007074172609;707,9854126;-0,008788329549;707,9854126;-0,0159066692;707,9854126;-0,01570298895;707,9854126;-0,01693668775;707,9854126;-0,01532717701;707,9854126;-0,01595343277;707,9854126;-0,02493610047;
707,0171509;-0,01068364829;707,0171509;-0,006953540724;707,0171509;-0,008452588692;707,0171509;-0,01584857143;707,0171509;-0,01593027636;707,0171509;-0,01642053947;707,0171509;-0,01507802214;707,0171509;-0,01601655781;707,0171509;-0,02492143586;
706,0126343;-0,01060195919;706,0126343;-0,007445130032;706,0126343;-0,008841444738;706,0126343;-0,01557993609;706,0126343;-0,01619625092;706,0126343;-0,01652212255;706,0126343;-0,01602528989;706,0126343;-0,01623330824;706,0126343;-0,02454691567;
705,0078125;-0,01083884947;705,0078125;-0,007401666138;705,0078125;-0,008951309137;705,0078125;-0,01614791714;705,0078125;-0,01647168212;705,0078125;-0,01741706207;705,0078125;-0,01594714448;705,0078125;-0,01686503179;705,0078125;-0,02570557222;
704,0025635;-0,01060312148;704,0025635;-0,006826912519;704,0025635;-0,008882938884;704,0025635;-0,01606904715;704,0025635;-0,01625295728;704,0025635;-0,01681786962;704,0025635;-0,01565724798;704,0025635;-0,01655745693;704,0025635;-0,02566238493;
702,9970703;-0,0112729976;702,9970703;-0,007525023073;702,9970703;-0,00911574997;702,9970703;-0,01690511964;702,9970703;-0,01628721692;702,9970703;-0,01712172478;702,9970703;-0,01604200527;702,9970703;-0,01671495847;702,9970703;-0,02630048059;
701,9912109;-0,01088565681;701,9912109;-0,007618026342;701,9912109;-0,008846873417;701,9912109;-0,01639705896;701,9912109;-0,01680661179;701,9912109;-0,01709395275;701,9912109;-0,01613968797;701,9912109;-0,01666364446;701,9912109;-0,02581886202;
700,9850464;-0,01066859439;700,9850464;-0,007305358071;700,9850464;-0,008881011978;700,9850464;-0,01663569175;700,9850464;-0,01661655866;700,9850464;-0,01719070226;700,9850464;-0,01587407663;700,9850464;-0,01678554341;700,9850464;-0,02662139386;
700,0145264;-0,01090883091;700,0145264;-0,007426248863;700,0145264;-0,008915958926;700,0145264;-0,0163337402;700,0145264;-0,01675884612;700,0145264;-0,01748286001;700,0145264;-0,01611439511;700,0145264;-0,01716188714;700,0145264;-0,02705912478;
699,0076294;-0,01087656803;699,0076294;-0,007479735184;699,0076294;-0,009372046217;699,0076294;-0,01696317643;699,0076294;-0,01672233082;699,0076294;-0,01743904501;699,0076294;-0,01645313948;699,0076294;-0,01742502116;699,0076294;-0,02680999227;
698,0004883;-0,01114343479;698,0004883;-0,007699515205;698,0004883;-0,009490337223;698,0004883;-0,01707080752;698,0004883;-0,01718786545;698,0004883;-0,01757271029;698,0004883;-0,01656902023;698,0004883;-0,01736150309;698,0004883;-0,02725152113;
